   7.4283  3.76e-07  2120.0092  5.11e-08  1  1 R    1 27
   7.4799  6.33e-08  6354.1791  8.48e-09  3  3 R    1 26
   7.4957  6.43e-07     3.7479  8.57e-08  0  0 R    1 27
   7.5499  1.94e-07  4263.8372  2.55e-08  2  2 R    1 26
   7.6199  4.01e-07  2147.0811  5.18e-08  1  1 R    1 26
   7.6899  6.91e-07     3.8450  8.76e-08  0  0 R    1 26
  10.0235  1.16e-08  9988.5295  1.21e-09  5  5 R    2 38
  10.1144  3.07e-08  8040.7934  3.15e-09  4  4 R    2 38
  10.1320  1.39e-08 10041.8489  1.42e-09  5  5 R    2 46
  10.2052  2.16e-07  6069.1793  2.18e-08  3  3 R    2 38
  10.2243  2.92e-08  8084.0011  2.93e-09  4  4 R    2 46
  10.2645  1.72e-08 10106.6694  1.71e-09  5  5 R    2 37
  10.2961  5.80e-07  4073.6273  5.74e-08  2  2 R    2 38
  10.3167  2.18e-07  6102.0117  2.15e-08  3  3 R    2 46
  10.3587  2.73e-08  8136.5329  2.67e-09  4  4 R    2 37
  10.3870  1.14e-06  2054.0792  1.10e-07  1  1 R    2 38
  10.4091  5.93e-07  4095.8200  5.74e-08  2  2 R    2 46
  10.4530  2.20e-07  6141.9326  2.11e-08  3  3 R    2 37
  10.4779  1.89e-06    10.4783  1.81e-07  0  0 R    2 38
  10.4974  2.41e-08 10219.5405  2.29e-09  5  5 R    2 28
  10.5015  1.17e-06  2065.3669  1.11e-07  1  1 R    2 46
  10.5366  2.54e-08 10238.3471  2.40e-09  5  5 R    2 36
  10.5473  6.09e-07  4122.8064  5.74e-08  2  2 R    2 37
  10.5939  1.96e-06    10.5943  1.83e-07  0  0 R    2 46
  10.5950  2.40e-08  8228.0173  2.24e-09  4  4 R    2 28
  10.6347  2.34e-08  8243.2620  2.17e-09  4  4 R    2 36
  10.6415  1.21e-06  2079.0940  1.12e-07  1  1 R    2 37
  10.6925  2.23e-07  6211.4637  2.05e-08  3  3 R    2 28
  10.7328  2.24e-07  6223.0513  2.04e-08  3  3 R    2 36
  10.7358  2.03e-06    10.7362  1.85e-07  0  0 R    2 37
  10.7380  3.29e-08 10334.7470  2.99e-09  5  5 R    2 27
  10.7901  6.37e-07  4169.8154  5.74e-08  2  2 R    2 28
  10.8309  6.42e-07  4177.6504  5.74e-08  2  2 R    2 36
  10.8390  2.05e-08  8321.4097  1.83e-09  4  4 R    2 27
  10.8877  1.28e-06  2103.0098  1.13e-07  1  1 R    2 28
  10.9291  1.29e-06  2106.9964  1.14e-07  1  1 R    2 36
  10.9400  2.26e-07  6282.4564  1.98e-08  3  3 R    2 27
  10.9853  2.17e-06    10.9857  1.89e-07  0  0 R    2 28
  11.0095  4.52e-08 10463.2321  3.91e-09  5  5 R    2 26
  11.0272  2.19e-06    11.0276  1.89e-07  0  0 R    2 36
  11.0410  6.66e-07  4217.8207  5.74e-08  2  2 R    2 27
  11.1145  1.64e-08  8425.5842  1.40e-09  4  4 R    2 26
  11.1421  1.36e-06  2127.4375  1.15e-07  1  1 R    2 27
  11.2195  2.28e-07  6361.6590  1.90e-08  3  3 R    2 26
  11.2431  2.32e-06    11.2436  1.93e-07  0  0 R    2 27
  11.3245  6.99e-07  4271.3871  5.72e-08  2  2 R    2 26
  11.4295  1.45e-06  2154.7010  1.16e-07  1  1 R    2 26
  11.5345  2.50e-06    11.5350  1.97e-07  0  0 R    2 26
  13.3641  2.89e-08  9998.5530  2.18e-09  5  5 R    3 38
  13.4853  7.48e-08  8050.9078  5.55e-09  4  4 R    3 38
  13.5087  3.48e-08 10051.9808  2.57e-09  5  5 R    3 46
  13.6064  5.29e-07  6079.3845  3.86e-08  3  3 R    3 38
  13.6319  7.11e-08  8094.2254  5.16e-09  4  4 R    3 46
  13.6854  4.29e-08 10116.9339  3.09e-09  5  5 R    3 37
  13.7276  1.42e-06  4083.9234  1.02e-07  2  2 R    3 38
  13.7551  5.34e-07  6112.3284  3.81e-08  3  3 R    3 46
  13.8111  6.65e-08  8146.8917  4.70e-09  4  4 R    3 37
  13.8488  2.79e-06  2064.4662  1.96e-07  1  1 R    3 38
  13.8783  1.45e-06  4106.2292  1.02e-07  2  2 R    3 46
  13.9367  5.39e-07  6152.3856  3.74e-08  3  3 R    3 37
  13.9700  4.65e-06    20.9562  3.21e-07  0  0 R    3 38
  13.9959  6.00e-08 10230.0379  4.13e-09  5  5 R    3 28
  14.0015  2.86e-06  2075.8684  1.97e-07  1  1 R    3 46
  14.0481  6.32e-08 10248.8837  4.32e-09  5  5 R    3 36
  14.0624  1.49e-06  4133.3537  1.02e-07  2  2 R    3 37
  14.1247  4.80e-06    21.1883  3.25e-07  0  0 R    3 46
  14.1260  5.82e-08  8238.6123  3.93e-09  4  4 R    3 28
  14.1789  5.68e-08  8253.8967  3.81e-09  4  4 R    3 36
  14.1881  2.96e-06  2089.7355  1.99e-07  1  1 R    3 37
  14.2561  5.47e-07  6222.1562  3.63e-08  3  3 R    3 28
  14.3098  5.48e-07  6233.7841  3.61e-08  3  3 R    3 36
  14.3138  4.99e-06    21.4720  3.28e-07  0  0 R    3 37
  14.3166  8.17e-08 10345.4849  5.38e-09  5  5 R    3 27
  14.3862  1.56e-06  4180.6055  1.02e-07  2  2 R    3 28
  14.4406  1.57e-06  4188.4814  1.02e-07  2  2 R    3 36
  14.4513  4.96e-08  8332.2486  3.21e-09  4  4 R    3 27
  14.5163  3.14e-06  2113.8974  2.01e-07  1  1 R    3 28
  14.5715  3.17e-06  2117.9254  2.02e-07  1  1 R    3 36
  14.5860  5.54e-07  6293.3964  3.51e-08  3  3 R    3 27
  14.6464  5.33e-06    21.9710  3.35e-07  0  0 R    3 28
  14.6787  1.12e-07 10474.2416  7.03e-09  5  5 R    3 26
  14.7023  5.39e-06    22.0549  3.36e-07  0  0 R    3 36
  14.7207  1.63e-06  4228.8617  1.02e-07  2  2 R    3 27
  14.8186  3.97e-08  8436.6987  2.44e-09  4  4 R    3 26
  14.8555  3.33e-06  2138.5796  2.04e-07  1  1 R    3 27
  14.9586  5.58e-07  6372.8785  3.37e-08  3  3 R    3 26
  14.9902  5.70e-06    22.4867  3.42e-07  0  0 R    3 27
  15.0986  1.71e-06  4282.7116  1.01e-07  2  2 R    3 26
  15.2386  3.55e-06  2166.1305  2.06e-07  1  1 R    3 26
  15.3787  6.13e-06    23.0695  3.49e-07  0  0 R    3 26
  16.7042  5.89e-08 10011.9171  3.48e-09  5  5 R    4 38
  16.8557  1.48e-07  8064.3931  8.56e-09  4  4 R    4 38
  16.8850  7.08e-08 10065.4895  4.09e-09  5  5 R    4 46
  17.0071  1.05e-06  6092.9909  6.00e-08  3  3 R    4 38
  17.0389  1.40e-07  8107.8573  7.95e-09  4  4 R    4 46
  17.1058  8.73e-08 10130.6193  4.92e-09  5  5 R    4 37
  17.1586  2.83e-06  4097.6510  1.59e-07  2  2 R    4 38
  17.1929  1.06e-06  6126.0835  5.92e-08  3  3 R    4 46
  17.2629  1.31e-07  8160.7027  7.24e-09  4  4 R    4 37
  17.3101  5.55e-06  2078.3150  3.05e-07  1  1 R    4 38
  17.3469  2.90e-06  4120.1074  1.59e-07  2  2 R    4 46
  17.4200  1.07e-06  6166.3223  5.82e-08  3  3 R    4 37
  17.4616  9.27e-06    34.9261  5.01e-07  0  0 R    4 38
  17.4939  1.22e-07 10244.0338  6.56e-09  5  5 R    4 28
  17.5009  5.71e-06  2089.8699  3.07e-07  1  1 R    4 46
  17.5591  1.28e-07 10262.9318  6.86e-09  5  5 R    4 36
  17.5771  2.97e-06  4147.4161  1.59e-07  2  2 R    4 37
  17.6549  9.57e-06    35.3129  5.06e-07  0  0 R    4 46
  17.6565  1.14e-07  8252.7383  6.05e-09  4  4 R    4 28
  17.7227  1.12e-07  8268.0756  5.86e-09  4  4 R    4 36
  17.7342  5.90e-06  2103.9236  3.10e-07  1  1 R    4 37
  17.8191  1.09e-06  6236.4123  5.64e-08  3  3 R    4 28
  17.8862  1.09e-06  6248.0939  5.61e-08  3  3 R    4 36
  17.8913  9.94e-06    35.7858  5.12e-07  0  0 R    4 37
  17.8947  1.66e-07 10359.8015  8.53e-09  5  5 R    4 27
  17.9817  3.11e-06  4194.9917  1.59e-07  2  2 R    4 28
  18.0498  3.13e-06  4202.9220  1.59e-07  2  2 R    4 36
  18.0631  9.72e-08  8346.6999  4.91e-09  4  4 R    4 27
  18.1444  6.26e-06  2128.4138  3.14e-07  1  1 R    4 28
  18.2133  6.32e-06  2132.4969  3.14e-07  1  1 R    4 36
  18.2315  1.10e-06  6307.9824  5.45e-08  3  3 R    4 27
  18.3070  1.06e-05    36.6174  5.23e-07  0  0 R    4 28
  18.3472  2.27e-07 10488.9203  1.11e-08  5  5 R    4 26
  18.3769  1.07e-05    36.7572  5.24e-07  0  0 R    4 36
  18.3999  3.25e-06  4243.5825  1.58e-07  2  2 R    4 27
  18.5222  7.75e-08  8451.5174  3.73e-09  4  4 R    4 26
  18.5683  6.64e-06  2153.4351  3.18e-07  1  1 R    4 27
  18.6972  1.11e-06  6387.8371  5.23e-08  3  3 R    4 26
  18.7367  1.14e-05    37.4769  5.33e-07  0  0 R    4 27
  18.8722  3.41e-06  4297.8102  1.58e-07  2  2 R    4 26
  19.0472  7.08e-06  2181.3692  3.22e-07  1  1 R    4 26
  19.2222  1.22e-05    38.4481  5.45e-07  0  0 R    4 26
  20.0437  1.06e-07 10028.6213  5.14e-09  5  5 R    5 38
  20.2255  2.55e-07  8081.2488  1.21e-08  4  4 R    5 38
  20.2606  1.27e-07 10082.3745  6.03e-09  5  5 R    5 46
  20.4072  1.84e-06  6109.9981  8.58e-08  3  3 R    5 38
  20.4453  2.42e-07  8124.8962  1.13e-08  4  4 R    5 46
  20.5256  1.56e-07 10147.7251  7.24e-09  5  5 R    5 37
  20.5890  4.95e-06  4114.8096  2.27e-07  2  2 R    5 38
  20.6301  1.85e-06  6143.2764  8.47e-08  3  3 R    5 46
  20.7141  2.25e-07  8177.9656  1.02e-08  4  4 R    5 37
  20.7708  9.71e-06  2095.6251  4.39e-07  1  1 R    5 38
  20.8149  5.06e-06  4137.4543  2.27e-07  2  2 R    5 46
  20.9026  1.87e-06  6183.7423  8.32e-08  3  3 R    5 37
  20.9525  1.62e-05    52.3877  7.20e-07  0  0 R    5 38
  20.9912  2.18e-07 10261.5277  9.63e-09  5  5 R    5 28
  20.9997  9.99e-06  2107.3708  4.41e-07  1  1 R    5 46
  21.0695  2.29e-07 10280.4909  1.01e-08  5  5 R    5 36
  21.0911  5.19e-06  4164.9932  2.27e-07  2  2 R    5 37
  21.1845  1.68e-05    52.9679  7.27e-07  0  0 R    5 46
  21.1863  1.96e-07  8270.3948  8.53e-09  4  4 R    5 28
  21.2657  1.92e-07  8285.7983  8.26e-09  4  4 R    5 36
  21.2796  1.03e-05  2121.6578  4.45e-07  1  1 R    5 37
  21.3815  1.89e-06  6254.2314  8.07e-08  3  3 R    5 28
  21.4620  1.90e-06  6265.9801  8.02e-08  3  3 R    5 36
  21.4682  1.74e-05    53.6772  7.36e-07  0  0 R    5 37
  21.4721  2.96e-07 10377.6963  1.25e-08  5  5 R    5 27
  21.5766  5.43e-06  4212.9734  2.27e-07  2  2 R    5 28
  21.6582  5.47e-06  4220.9717  2.27e-07  2  2 R    5 36
  21.6742  1.67e-07  8364.7630  6.91e-09  4  4 R    5 27
  21.7718  1.09e-05  2146.5581  4.50e-07  1  1 R    5 28
  21.8545  1.11e-05  2150.7102  4.51e-07  1  1 R    5 36
